,Brand,Reference,Google Search Code,Category,Name,Product Page URL,Price(Euros),Product Url,Product Price
49,O'NEILL,9P0270-6058 Forest Nig,9P0270-6058,Fleeces,PB HOODED FULL ZIP FLEECE,,,https://www.oneill.com/fr/en/hooded-full-zip-ski-fleece/9P0270-6058-128.html,€34.99
50,O'NEILL,9P0272-5075 Seaport Bl,9P0272-5075,Fleeces,PB FULL-ZIP FLEECE,,,Url Not Found,No Url to scrape price
51,O'NEILL,9P0274-6058 Forest Nig,9P0274-6058,Fleeces,PB CREW FLEECE,,,https://www.oneill.com/eu/en/crew-ski-fleece/9P0274-6058-116.html,€27.99
52,O'NEILL,9P0274-9010 Black Out,9P0274-9010,Fleeces,PB CREW FLEECE,,,https://www.oneill.com/eu/en/crew-ski-fleece/9P0274-9010-128.html,€27.99
53,O'NEILL,9P0276-6058 Forest Nig,9P0276-6058,Fleeces,PB 1/4 ZIP FLEECE,,,https://www.oneill.com/eu/en/1-4-zip-ski-fleece/9P0276-6058-128.html,€20.99
54,O'NEILL,8P0084-5056 Ink Blue,8P0084-5056,Jackets Snow,PB STATEMENT JACKET,,,https://www.oneill.com/eu/en/statement-ski-snowboard-jacket/8P0084-5056-140.html,€99.99
55,O'NEILL,8P0084-5112 Surf Blue,8P0084-5112,Jackets Snow,PB STATEMENT JACKET,,,https://www.oneill.com/eu/en/statement-ski-snowboard-jacket/8P0084-5112-128.html,€99.99
56,O'NEILL,8P3648-6025 DRESDEN BL,8P3648-6025,Jackets Snow,PB THUNDER PEAK JACKET,,,Url Not Found,No Url to scrape price
57,O'NEILL,8P3648-6058 Forest Nig,8P3648-6058,Jackets Snow,PB THUNDER PEAK JACKET,,,Url Not Found,No Url to scrape price
58,O'NEILL,8P3648-9010 Black Out,8P3648-9010,Jackets Snow,PB THUNDER PEAK JACKET,,,Url Not Found,No Url to scrape price
59,O'NEILL,9P0074-5075 Seaport Bl,9P0074-5075,Jackets Snow,PB IGNEOUS JACKET,,,https://www.oneill.com/eu/en/igneous-ski-jacket/9P0074-5075-128.html,€90.99
60,O'NEILL,9P0074-6058 Forest Nig,9P0074-6058,Jackets Snow,PB IGNEOUS JACKET,,,https://www.oneill.com/eu/en/igneous-ski-jacket/9P0074-6058-104.html,€90.99
61,O'NEILL,9P0078-6058 Forest Nig,9P0078-6058,Jackets Snow,PB APLITE JACKET,,,https://www.oneill.com/eu/en/aplite-ski-jacket/9P0078-6058-104.html,€83.99
62,O'NEILL,9P0078-9010 Black Out,9P0078-9010,Jackets Snow,PB APLITE JACKET,,,https://www.oneill.com/eu/en/aplite-ski-jacket/9P0078-9010-104.html,€83.99
63,O'NEILL,9P0080-5900 BLUE AOP,9P0080-5900,Jackets Snow,PB HALITE JACKET,,,https://www.oneill.com/be/en/halite-ski-jacket/9P0080-5900-128.html,€69.99
64,O'NEILL,9P0080-6900 GREEN AOP,9P0080-6900,Jackets Snow,PB HALITE JACKET,,,https://www.oneill.com/fr/en/halite-ski-jacket/9P0080-6900-116.html,€69.99
65,O'NEILL,9P0080-6960 GREEN AOP,9P0080-6960,Jackets Snow,PB HALITE JACKET,,,https://www.oneill.com/eu/en/halite-ski-jacket/9P0080-6960-104.html,€69.99
66,O'NEILL,9P0080-9900 BLACK AOP,9P0080-9900,Jackets Snow,PB HALITE JACKET,,,https://www.oneill.com/fr/en/halite-ski-jacket/9P0080-9900-140.html,€69.99
67,O'NEILL,9P0082-5075 Seaport Bl,9P0082-5075,Jackets Snow,PB MAGNATITE JACKET,,,https://www.oneill.com/eu/en/magnatite-ski-jacket/9P0082-5075-152.html,€69.99
68,O'NEILL,8P3070-5056 Ink Blue,8P3070-5056,Snow pants,PB BIB PANTS,,,https://www.oneill.com/eu/en/bib-ski-snowboard-pants/8P3070-5056-116.html,€119.9
69,O'NEILL,8P3072-2521 Bright Ora,8P3072-2521,Snow pants,PB ANVIL PANTS,,,https://www.oneill.com/eu/en/anvil-ski-snowboard-pants/8P3072-2521-170.html,€89.99
70,O'NEILL,8P3072-5112 Surf Blue,8P3072-5112,Snow pants,PB ANVIL PANTS,,,https://www.oneill.com/eu/en/anvil-ski-snowboard-pants/8P3072-5112-164.html,€89.99
71,O'NEILL,8P3072-6017 Treetop Gr,8P3072-6017,Snow pants,PB ANVIL PANTS,,,https://www.oneill.com/eu/en/anvil-ski-snowboard-pants/8P3072-6017-152.html,€89.99
72,O'NEILL,8P3072-6025 DRESDEN BL,8P3072-6025,Snow pants,PB ANVIL PANTS,,,https://www.oneill.com/fr/en/anvil-ski-snowboard-pants/8P3072-6025-104.html,€89.99
73,O'NEILL,8P3658-2521 Bright Ora,8P3658-2521,Snow pants,PB ANVIL PANTS,,,Url Not Found,No Url to scrape price
74,O'NEILL,8P3658-6025 DRESDEN BL,8P3658-6025,Snow pants,PB ANVIL PANTS,,,Url Not Found,No Url to scrape price
75,O'NEILL,8P3658-9010 Black Out,8P3658-9010,Snow pants,PB ANVIL PANTS,,,Url Not Found,No Url to scrape price
76,O'NEILL,9P3070-6058 Forest Nig,9P3070-6058,Snow pants,PB BIB PANTS,,,https://www.oneill.com/eu/en/bib-ski-pants/9P3070-6058-116.html,€83.99
77,O'NEILL,9P3070-9010 Black Out,9P3070-9010,Snow pants,PB BIB PANTS,,,https://www.oneill.com/eu/en/bib-ski-pants/9P3070-9010-128.html,€83.99
78,O'NEILL,9P3072-2518 Citrine Or,9P3072-2518,Snow pants,PB ANVIL PANTS,,,https://www.oneill.com/eu/en/anvil-ski-pants/9P3072-2518-176.html,€62.99
79,O'NEILL,9P3072-5075 Seaport Bl,9P3072-5075,Snow pants,PB ANVIL PANTS,,,https://www.oneill.com/eu/en/anvil-ski-pants/9P3072-5075-128.html,€62.99
80,O'NEILL,9P3072-6058 Forest Nig,9P3072-6058,Snow pants,PB ANVIL PANTS,,,https://www.oneill.com/eu/en/anvil-ski-pants/9P3072-6058-128.html,€62.99
81,O'NEILL,9P3072-9010 Black Out,9P3072-9010,Snow pants,PB ANVIL PANTS,,,https://www.oneill.com/eu/en/anvil-ski-pants/9P3072-9010-128.html,€89.99
82,O'NEILL,9P9270-4048 Bridal Ros,9P9270-4048,Accessories,BG WOOL SCARF GIRLS,,,https://www.oneill.com/eu/en/wool-scarf/9P9270-4048-0.html,€18.19
83,O'NEILL,0A9070-7507 Chateau Be,0A9070-7507,Bags,BG BEACH BAG STRAW,,,https://www.oneill.com/eu/en/beach-staw-bag/0A9070-7507-0.html,€20.99
84,O'NEILL,9P9172-6149 Bivaline,9P9172-6149,Headwear,BG POP-MELANGE BEANIE,,,https://www.oneill.com/eu/en/pop-melange-beanie/9P9172-6149-0.html,€18.19
85,O'NEILL,9P9174-3021 Neon Flame,9P9174-3021,Headwear,BG SOFT-KNIT BEANIE,,,https://www.oneill.com/eu/en/soft-knit-beanie/9P9174-3021-0.html,€16.09
86,O'NEILL,0A9170-7507 Chateau Be,0A9170-7507,Headwear,BG FEDORA HAT,,,https://www.oneill.com/eu/en/fedora-hat/0A9170-7507-54.html,€18.19
87,O'NEILL,0A9970-3121 Mandarine,0A9970-3121,Sandals,FG DITSY SANDALS,,,https://www.oneill.com/eu/en/ditsy-sandals/0A9970-3121-301.html,€18.19
88,O'NEILL,0A9972-5950 BLUE AOP W,0A9972-5950,Sandals,FG WOVEN STRAP SANDALS,,,https://www.oneill.com/eu/en/woven-sandals/0A9972-5950-32.html,€16.09
89,O'NEILL,0A9972-6960 GREEN AOP,0A9972-6960,Sandals,FG WOVEN STRAP SANDALS,,,https://www.oneill.com/eu/en/woven-sandals/0A9972-6960-32.html,€16.09
90,O'NEILL,0A8986-4920 PINK-PURP,0A8986-4920,Dresses & Jumpsuits,LG SWEAT DRESS,,,https://www.oneill.com/eu/en/hooded-side-zip-sweater-dress/0A8986-4920-104.html,€48.99
91,O'NEILL,0A8986-5204 Scale,0A8986-5204,Dresses & Jumpsuits,LG SWEAT DRESS,,,https://www.oneill.com/eu/en/hooded-side-zip-sweater-dress/0A8986-5204-116.html,€48.99
92,O'NEILL,0A8971-4900 PINK AOP,0A8971-4900,Dresses & Jumpsuits,LG LOLA TUNIQUE DRESS,,,https://www.oneill.com/eu/en/lola-tunique-dress/0A8971-4900-140.html,€20.99
